username, created_at, lng, lat, text
furqanix, Sat Jan 30 03:36:12 +0000 2021, -94.675094, 38.931549, @ShehzadRoy @ZindagiTrust یہ جو استاد کے روپ میں جلاد بنا ہوا ہے اس نے صرف مار ہی نہیں کھائی ہوگی بلکہ اپنے جاہل اس… https://t.co/A7ECqDGcxZ 
ClaireGoodwater, Sat Jan 30 03:36:12 +0000 2021, -96.696562, 40.803235, i know david mamet would absolutely hate it but i feel like Muppet glengarry glen ross needs to happen 
joshranft_, Sat Jan 30 03:36:12 +0000 2021, -91.509719, 44.819522, @caffeinatedpup Do all these things! Or, conversely, don't. Choice is yours and yours alone. 
mrcharliej13, Sat Jan 30 03:36:12 +0000 2021, -73.993546, 40.294356, @HidekiPena I hope so! I like the game so far . Just had a second crash. Very early on . Just sucks cause it puts m… https://t.co/hsay95wS9F 
hannahhhh_01, Sat Jan 30 03:36:12 +0000 2021, -80.926628, 33.631140, When dee grows his beard out I constantly do this 😂😂 
RossiSongo, Sat Jan 30 03:36:12 +0000 2021, -73.968542, 40.780709, Was it Kelly or Beyoncé singing?! This song gives Ashanti or JLo teas.  https://t.co/IH8LAwRzj8 
StickMeister13, Sat Jan 30 03:36:12 +0000 2021, -107.554562, 43.000325, I ain’t sellin #DOGE 
CoachDAmbro, Sat Jan 30 03:36:12 +0000 2021, -117.104989, 32.810012, @DFamber https://t.co/Hn9XiAxFmR 
stephenpallotta, Sat Jan 30 03:36:12 +0000 2021, -73.763825, 42.739121, @spiro_keith I want the full story. How'd it all start, how did it end. Where are we today compared to where we were. 
larepousse, Sat Jan 30 03:36:12 +0000 2021, -71.341059, 46.855857, @patjean8 🙋‍♀️ 
jillianislame, Sat Jan 30 03:36:12 +0000 2021, -117.999409, 34.139172, Getting a call from my manager really truly sends me into a blind panic these days 
Barb_Marleyy, Sat Jan 30 03:36:12 +0000 2021, -80.175763, 25.879932, which my fat could go everywhere but my stomach🥺 
TitleKingExpres, Sat Jan 30 03:36:13 +0000 2021, -87.632496, 41.883222, 2006 CHRYSLER 300 #titlekingexpress @ Chicago, Illinois https://t.co/0nwUdM5QlH 
jpoole347, Sat Jan 30 03:36:13 +0000 2021, -71.542562, 43.227570, @Coll3enG Oh my 😍 
TheresaABoughto, Sat Jan 30 03:36:13 +0000 2021, -90.004841, 40.697025, @VmarsS5 Season 4- defined what a duck RT was and is. I say he wanted to be done. He knew exactly what he was doing. 
evanwitsports, Sat Jan 30 03:36:13 +0000 2021, -87.860723, 42.911746, Can the NL West stop being the cardinals farm system please https://t.co/gaIfnyH3UQ 
Trent_Titan, Sat Jan 30 03:36:13 +0000 2021, -83.269058, 42.664684, Called $AMC #hedgefunds #AMC #gme #wallstreetsbets #robinhood https://t.co/SU94YPJSy0 
SirEdwardJames, Sat Jan 30 03:36:13 +0000 2021, -97.432425, 27.737151, DJ TRIPLE BOYS. 
therealbestdamn, Sat Jan 30 03:36:13 +0000 2021, -84.399400, 39.518900, @bestdamnpodcast #live #latestnews #BreakingNews #trending #currentevents #TopStories #News #breaking #WorldNews CL… https://t.co/y2KHr2fcbk 
TeamKaptain08, Sat Jan 30 03:36:13 +0000 2021, -84.202565, 39.430269, Reds about to let this division slip away and they haven't even played a game yet 
omgthatscyrus, Sat Jan 30 03:36:13 +0000 2021, -77.014398, 38.898603, You gotta carry yourself like you the best nigga at what you do🔥Confidence is key 
BrookeTheDon, Sat Jan 30 03:36:13 +0000 2021, -97.448523, 32.892175, so cliche but everything really does happen for a reason 
jazzygirl081, Sat Jan 30 03:36:13 +0000 2021, -117.104989, 32.810012, In 
wmungadi1, Sat Jan 30 03:36:13 +0000 2021, -93.756100, 41.636688, https://t.co/YKPNbJZ3PuInteresting that the Monitor ran this shameful story. @NationMediaGrp @usmissionuganda @HEBobiwine 
ericsommer, Sat Jan 30 03:36:13 +0000 2021, -79.087682, 35.799631, Rock on Jeff Crew... Thank you!! Pease and beauty!! https://t.co/hAQEVFd5g1 
louisspice, Sat Jan 30 03:36:14 +0000 2021, -123.123581, 49.257639, ประเทศคนประหลาดเหรอ เหี้ยไรเนี่ย 
patpedersenn, Sat Jan 30 03:36:14 +0000 2021, -88.127456, 42.143842, @tikitommy @FowlCurtis @classiclib3ral Wait, no, this isn’t real is it? This has to be a shop 
Gurbirbhullar03, Sat Jan 30 03:36:14 +0000 2021, -79.759591, 43.724971, @vyasvijit @Tsquare_tankman @techbuddyzz @Rajeevrajat @singhaman1904 @rajuparulekar @CPDelhi Dekh ly tere jaisy 400… https://t.co/ObLih4I8qw 
MyMusicRecord1, Sat Jan 30 03:36:14 +0000 2021, -83.804475, 27.698682, @KevinFarzad Lol I'm dying. 
humorofphilly, Sat Jan 30 03:36:14 +0000 2021, -75.117998, 40.004866, I ain’t get my shit snatched yet 
TDdogs, Sat Jan 30 03:36:14 +0000 2021, -81.453461, 41.516981, @Danimalsdoodoo @Jables696 I allow Jeff to be my coworker. 
ChinLovesIowa, Sat Jan 30 03:36:14 +0000 2021, -91.618471, 41.754823, @schneiderbrett9 Yes 
GorgeousBossKy, Sat Jan 30 03:36:14 +0000 2021, -87.732013, 41.833585, After ii Take These Braids Down Im Getting A Fye Ass Silk Press 🥰 
_xmanix, Sat Jan 30 03:36:14 +0000 2021, -79.857363, 36.090397, Ummmmm...... the only thing that wasn’t okay was the dog food comment, other than that..... 
RealDAWC, Sat Jan 30 03:36:14 +0000 2021, -90.247824, 38.653771, *When You Drink Cosamigos Like Water* 🐰⭐️🤣😂😭🔥 
mikalams, Sat Jan 30 03:36:14 +0000 2021, -82.493758, 27.372521, Retweeting this so I don’t lose it again 
Taye1k, Sat Jan 30 03:36:15 +0000 2021, -80.249773, 26.270261, Simply strawberry lemonade SO FUCK GOOD DAWG 
ansleypaige123, Sat Jan 30 03:36:14 +0000 2021, -85.784873, 35.674909, Hey @Murph_314 I can’t take the dress back, so you are definitely stuck with me now 😆🤪😘 https://t.co/fI3uUldack 
LazyDogHQ, Sat Jan 30 03:36:15 +0000 2021, -97.100798, 32.874333, We're hiring! Click to apply: Dishwasher - https://t.co/aNlCx9wwgY #Euless, TX 
NewHomesJared, Sat Jan 30 03:36:15 +0000 2021, -83.804475, 27.698682, @OANN Ouch, and some said Trump acted like a dictator 
FearsumBeard, Sat Jan 30 03:36:15 +0000 2021, -100.076888, 31.168893, What is the origin of your gamertag(s)? Go 👇#gamerthings #gamer 
robbiefaulk247, Sat Jan 30 03:36:15 +0000 2021, -89.876449, 32.571032, @edd73 @247Sports Bulldog club rank 
L_Cruz29, Sat Jan 30 03:36:15 +0000 2021, -119.306608, 37.269176, Tired 😓 
MikeJDowling5, Sat Jan 30 03:36:15 +0000 2021, -88.240004, 42.981638, @SamKuffelWx How do the Cardinals always seem to pull these deals off?? 
chaselepard, Sat Jan 30 03:36:15 +0000 2021, -122.435979, 37.770657, tell me you’re from NorCal without telling me you’re from NorCal...i’ll hella start. 
_NEweather, Sat Jan 30 03:36:15 +0000 2021, -74.315005, 40.569527, Oof, time to get some feet pics now I’m excited. And I’m not talking about snow ;) 
ArtistNEPA, Sat Jan 30 03:36:15 +0000 2021, -75.193460, 40.985860, Just posted a photo @ The Gallery at Renegade https://t.co/5fGEbS7LQf 
LyricalHill, Sat Jan 30 03:36:15 +0000 2021, -73.948775, 40.655138, it’s very sickening, from the insensitive jokes us Black Americans make towards our home bred  brothers and sisters… https://t.co/7rruy4vwsl 
Qtkashh, Sat Jan 30 03:36:15 +0000 2021, -80.228552, 25.858557, I spy something 🧐 https://t.co/YzMf3wyugC 
mike90605580, Sat Jan 30 03:36:15 +0000 2021, -83.173867, 32.678207, @Shanassty 😎😎😎😎👍🔥🔥🔥🔥get in the grove 
OchoA_Problem, Sat Jan 30 03:36:15 +0000 2021, -73.948775, 40.655138, Headtop 
tKCyclone, Sat Jan 30 03:36:15 +0000 2021, -93.785469, 41.628402, @NotBJUnderwood Because Twitter is rigged 
EroticOtter, Sat Jan 30 03:36:15 +0000 2021, -118.408990, 34.006012, @Noirc11 So sexy, son 
quefregados, Sat Jan 30 03:36:15 +0000 2021, -99.454676, 27.532077, @tinacochina You’re adventurous!! 
SusanEDub, Sat Jan 30 03:36:15 +0000 2021, -79.420865, 38.003376, @andrewfoxwell @herrmanndigital @Toddmstone @ThatChristinaG @graceofwrath @_EricSherrill @KovachR @AaronOrendorff https://t.co/ZT54c6WBQL 
Majormikeypayne, Sat Jan 30 03:36:16 +0000 2021, -82.236818, 36.326956, When you are just fed up with dum ass people that just talk shit about family https://t.co/1qocmAf8iW 
youlove_shaneka, Sat Jan 30 03:36:16 +0000 2021, -78.895441, 35.990983, My tolerance for people have declined so much. I really don’t be having time for the bs. 
clutchnmanny, Sat Jan 30 03:36:16 +0000 2021, -121.469664, 38.561722, @damn_meza https://t.co/gf9dttWvex 
DOB23, Sat Jan 30 03:36:16 +0000 2021, -89.886490, 38.725107, @abaselineview When speed killed and they had it everywhere. 
tommylang1630, Sat Jan 30 03:36:16 +0000 2021, -91.537062, 41.647354, @hawkize https://t.co/J9nQE6GjCL 
DrNancyGlass1, Sat Jan 30 03:36:16 +0000 2021, -95.446486, 29.838495, @vtfishgirl1 @calicoheartsoul For sure.  I am addicted to books, though..... true confession. 
AlicePhilly, Sat Jan 30 03:36:16 +0000 2021, -75.117998, 40.004866, @BobbiSue @ktrain_11 @Philabundance 😍😍😍🍕🍕🍕 
KaplanLadySage, Sat Jan 30 03:36:16 +0000 2021, -120.882482, 47.273022, @mattsalleemusic I don't shower in really hot water, plus a towel warmer is a really great investment. 
chevyguyCT, Sat Jan 30 03:36:17 +0000 2021, -86.680738, 32.576227, 🐐 
katereneec, Sat Jan 30 03:36:17 +0000 2021, -96.868033, 33.042549, @jortscenter Lmaooooo it ain’t all that 
k_mcclue, Sat Jan 30 03:36:17 +0000 2021, -95.446486, 29.838495, Bruh 😂😂😂😂😂😂 
urdeal59, Sat Jan 30 03:36:17 +0000 2021, -112.124676, 33.552863, @jaywhyelle I have to wonder about the level of stupidity of the people in the state that elected her. 
ReelTalker, Sat Jan 30 03:36:17 +0000 2021, -73.948775, 40.655138, @elenawonders What a time 
Christiandreas6, Sat Jan 30 03:36:18 +0000 2021, -104.789327, 38.888519, I hope Nolan Arenado chooses a Cardinals hat for his Hall of Fame plaque. 
CarolynJG1127, Sat Jan 30 03:36:17 +0000 2021, -86.791549, 36.200008, Um @beamiller we love u that was sm fun 🥺🥺🤍🤍🤍 https://t.co/KMl1nCgDYr 
Myhappylifekc, Sat Jan 30 03:36:18 +0000 2021, -83.804475, 27.698682, Perfect https://t.co/3oxX5b4l5x 
dlite_13, Sat Jan 30 03:36:18 +0000 2021, -76.563611, 38.252222, Let go of the chains that are binding you to unhappiness🕊 @ St. Mary's County, Maryland https://t.co/z6mxg8At9t 
jonathandreedDC, Sat Jan 30 03:36:18 +0000 2021, -77.085400, 38.891400, 💸💸💸🇺🇸 @ Arlington, Virginia https://t.co/NtyIF4H0Iu 
woaholivia1, Sat Jan 30 03:36:18 +0000 2021, -95.189469, 29.511978, if i’m ever somehow on broadway and i tweet negatively about bootlegs just know i’m LYING theatre needs to become m… https://t.co/PUsFk3NAUd 
rh18641, Sat Jan 30 03:36:18 +0000 2021, -122.435979, 37.770657, @miss8elle چطور اعتماد كردى؟ 
buckeru, Sat Jan 30 03:36:18 +0000 2021, -97.057882, 33.087951, @EJeanMarie64 Bigger stove than the one I had 
ster1ingsilver, Sat Jan 30 03:36:18 +0000 2021, -119.306608, 37.269176, @Reuters @Breakingviews If the product is free, you are the product. 
Felodaju357, Sat Jan 30 03:36:18 +0000 2021, -90.158017, 32.230987, @areaitiaera Before I would think Rhino easy. But man hippos can real deal be some dangerous ass holes 
TbirdTr3y_10, Sat Jan 30 03:36:18 +0000 2021, -100.076888, 31.168893, D3JOUNT3!!! #GoSpursGo #ThatsMyPG 
RWGII, Sat Jan 30 03:36:18 +0000 2021, -81.397958, 40.927924, @LibbyTard5 @CorkySwift2 ok so how many people got this? lol 
TheGreat_Keeno, Sat Jan 30 03:36:18 +0000 2021, -98.319925, 38.498196, Street lottery🔥🔥🔥🔥🔥 
andrewhanlontv, Sat Jan 30 03:36:18 +0000 2021, -88.320063, 44.292037, https://t.co/H8YOwiba1a 
jynnantonnyx42, Sat Jan 30 03:36:18 +0000 2021, -104.922093, 39.713563, Any time you can trade away a once-in-a-generation talent, pay 1/4 of his remaining salary, and get nothing but jun… https://t.co/AZyfQarK75 
nightcareoption, Sat Jan 30 03:36:19 +0000 2021, -93.464883, 45.108532, @GolfSoBad @IowaPublicRadio awesome Mickey, I bet you did just fine! 
Theshlumpedgod, Sat Jan 30 03:36:19 +0000 2021, -84.433106, 33.767195, @feelickss Hold on lmao where TF he come from 
mruzz, Sat Jan 30 03:36:19 +0000 2021, -73.733984, 40.803066, @saturdaysun2009 @yarnsmith64 @PreetBharara May I take this time to suggest anything live by the Grateful Dead.  Fo… https://t.co/SCTg1sKI9F 
morfeosonora, Sat Jan 30 03:36:19 +0000 2021, -111.498181, 28.969863, Vamos regresar en la 8va 😛😛🍊⚾️🍊🍊🙌⚾️👏🏼👏🏼#LAMPxSKY 
kpmitton, Sat Jan 30 03:36:19 +0000 2021, -83.121415, 42.689094, https://t.co/gx0X4Wapq5 
RealKieranLyons, Sat Jan 30 03:36:19 +0000 2021, -73.053745, 41.224028, @MissieDeeDee @saylahachey And right on Amazon Prime 👍 
pROBablyStewart, Sat Jan 30 03:36:19 +0000 2021, -111.967516, 41.082539, There must be Saran Wrap on the @dallasmavs hoop. 
ChinLovesIowa, Sat Jan 30 03:36:19 +0000 2021, -91.618471, 41.754823, @thebstiles Fun 
lburchett36, Sat Jan 30 03:36:19 +0000 2021, -112.124676, 33.552863, @scsmith0877 Man, told you it was good 
